Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,49,0,inf,0.0,0.0,0.0,0
2,55,0,inf,0.0,0.0,0.0,0
3,113,0,inf,0.0,0.0,0.0,0
4,118,0,inf,0.0,0.0,0.0,0
5,176,0,inf,0.0,0.0,0.0,0
6,182,0,inf,0.0,0.0,0.0,0
7,240,0,inf,0.0,0.0,0.0,0
8,246,0,inf,0.0,0.0,0.0,0
9,303,0,inf,0.0,0.0,0.0,0
10,309,0,inf,0.0,0.0,0.0,0
11,367,0,inf,0.0,0.0,0.0,0
12,373,0,inf,0.0,0.0,0.0,0
13,430,0,inf,0.0,0.0,0.0,0
14,436,0,inf,0.0,0.0,0.0,0
15,494,0,inf,0.0,0.0,0.0,0
16,500,0,inf,0.0,0.0,0.0,0
17,558,0,inf,0.0,0.0,0.0,0
18,563,0,inf,0.0,0.0,0.0,0
19,621,0,inf,0.0,0.0,0.0,0
20,627,0,inf,0.0,0.0,0.0,0
21,685,0,inf,0.0,0.0,0.0,0
22,691,0,inf,0.0,0.0,0.0,0
23,748,0,inf,0.0,0.0,0.0,0
24,754,0,inf,0.0,0.0,0.0,0
25,812,0,inf,0.0,0.0,0.0,0
26,818,0,inf,0.0,0.0,0.0,0
27,875,0,inf,0.0,0.0,0.0,0
28,881,0,inf,0.0,0.0,0.0,0
29,939,0,inf,0.0,0.0,0.0,0
30,945,0,inf,0.0,0.0,0.0,0
31,1003,0,inf,0.0,0.0,0.0,0
32,1008,0,inf,0.0,0.0,0.0,0
33,1066,0,inf,0.0,0.0,0.0,0
34,1072,0,inf,0.0,0.0,0.0,0
35,1130,0,inf,0.0,0.0,0.0,0
36,1136,0,inf,0.0,0.0,0.0,0
37,1193,0,inf,0.0,0.0,0.0,0
38,1199,0,inf,0.0,0.0,0.0,0
39,1257,0,inf,0.0,0.0,0.0,0
40,1263,0,inf,0.0,0.0,0.0,0
41,1321,0,inf,0.0,0.0,0.0,0
42,1326,0,inf,0.0,0.0,0.0,0
43,1384,0,inf,0.0,0.0,0.0,0
44,1390,0,inf,0.0,0.0,0.0,0
45,1448,0,inf,0.0,0.0,0.0,0
46,1453,0,inf,0.0,0.0,0.0,0
47,1511,0,inf,0.0,0.0,0.0,0
48,1517,0,inf,0.0,0.0,0.0,0
49,1575,0,inf,0.0,0.0,0.0,0
50,1581,0,inf,0.0,0.0,0.0,0
51,1638,0,inf,0.0,0.0,0.0,0
52,1644,0,inf,0.0,0.0,0.0,0
53,1702,0,inf,0.0,0.0,0.0,0
54,1708,0,inf,0.0,0.0,0.0,0
55,1766,0,inf,0.0,0.0,0.0,0
56,1771,0,inf,0.0,0.0,0.0,0
57,1829,0,inf,0.0,0.0,0.0,0
58,1835,0,inf,0.0,0.0,0.0,0
59,1893,0,inf,0.0,0.0,0.0,0
60,1898,0,inf,0.0,0.0,0.0,0
61,1956,0,inf,0.0,0.0,0.0,0
62,1962,0,inf,0.0,0.0,0.0,0
63,2020,0,inf,0.0,0.0,0.0,0
64,2026,0,inf,0.0,0.0,0.0,0
65,2083,0,inf,0.0,0.0,0.0,0
66,2089,0,inf,0.0,0.0,0.0,0
67,2147,0,inf,0.0,0.0,0.0,0
68,2153,0,inf,0.0,0.0,0.0,0
69,2211,0,inf,0.0,0.0,0.0,0
70,2216,0,inf,0.0,0.0,0.0,0
71,2274,0,inf,0.0,0.0,0.0,0
72,2280,0,inf,0.0,0.0,0.0,0
73,2338,0,inf,0.0,0.0,0.0,0
74,2343,0,inf,0.0,0.0,0.0,0
75,2401,0,inf,0.0,0.0,0.0,0
76,2407,0,inf,0.0,0.0,0.0,0
77,2465,0,inf,0.0,0.0,0.0,0
78,2471,0,inf,0.0,0.0,0.0,0
79,2528,0,inf,0.0,0.0,0.0,0
80,2534,0,inf,0.0,0.0,0.0,0
81,2592,0,inf,0.0,0.0,0.0,0
82,2598,0,inf,0.0,0.0,0.0,0
83,2656,0,inf,0.0,0.0,0.0,0
84,2661,0,inf,0.0,0.0,0.0,0
85,2719,0,inf,0.0,0.0,0.0,0
86,2725,0,inf,0.0,0.0,0.0,0
87,2783,0,inf,0.0,0.0,0.0,0
88,2789,0,inf,0.0,0.0,0.0,0
89,2846,0,inf,0.0,0.0,0.0,0
90,2852,0,inf,0.0,0.0,0.0,0
91,2910,0,inf,0.0,0.0,0.0,0
92,2916,0,inf,0.0,0.0,0.0,0
93,2973,0,inf,0.0,0.0,0.0,0
94,2979,0,inf,0.0,0.0,0.0,0
95,3037,0,inf,0.0,0.0,0.0,0
96,3043,0,inf,0.0,0.0,0.0,0
97,3101,0,inf,0.0,0.0,0.0,0
98,3106,0,inf,0.0,0.0,0.0,0
99,3164,0,inf,0.0,0.0,0.0,0
100,3170,0,inf,0.0,0.0,0.0,0
