Round,Sim Time [s],Loss,Accuracy,prog [%]
1,15,1.1379751748681068,0.15483096619323863,50.0
2,73,2.099026713567972,0.2323608524725843,96.67
3,131,1.9554284120559693,0.2616387337057728,96.67
4,189,1.8578209057033062,0.30043451272501553,96.67
5,248,1.7386124825567006,0.3345747982619491,96.67
6,306,1.6399004847034813,0.3749224084419615,96.67
7,364,1.5739149919226765,0.4000620732464308,96.67
8,422,1.5240872716762126,0.4167183943720257,96.67
9,481,1.483865929717198,0.4356507345334161,96.67
10,539,1.4480927882220596,0.45292778812331885,96.67
11,597,1.4129892986472696,0.46451479412373264,96.67
12,655,1.3838089920381085,0.4781709083385061,96.67
13,714,1.3593011072045191,0.489137181874612,96.67
14,772,1.3350008002052083,0.49762052555348646,96.67
15,830,1.3116020632183178,0.5115870060004138,96.67
16,888,1.2892161761029857,0.5221394578936478,96.67
17,947,1.2688580030752112,0.5296917028760604,96.67
18,1005,1.251439053875138,0.537140492447755,96.67
19,1063,1.2345264792122879,0.5442789157872957,96.67
20,1121,1.2199706681425566,0.5500724187875026,96.67
21,1180,1.2055423411955242,0.5563831988412994,96.67
22,1238,1.1913414639161666,0.5609352369128905,96.67
23,1296,1.178201122199546,0.5667287399130975,96.67
24,1354,1.1661602256502839,0.5713842333954066,96.67
25,1413,1.1551901604059152,0.5761431822884336,96.67
26,1471,1.1442720885346527,0.5795572108421271,96.67
27,1529,1.1342480862902826,0.5812124974136147,96.67
28,1587,1.1239990249718481,0.5874198220566935,96.67
29,1646,1.114359571390442,0.5931098696461825,96.67
30,1704,1.1056085382446939,0.5996275605214153,96.67
31,1762,1.097869067947031,0.6001448375750051,96.67
32,1820,1.0912993015155545,0.6020070349679288,96.67
33,1879,1.0825906643165217,0.606352162218084,96.67
34,1937,1.076306979446186,0.6076970825574177,96.67
35,1995,1.0697041562584577,0.612042209807573,96.67
36,2053,1.0630226272032917,0.6134905855576247,96.67
37,2112,1.0578155659746524,0.6160769708255742,96.67
38,2170,1.0514045957516558,0.6182495344506518,96.67
39,2228,1.0468485126181055,0.6206290088971653,96.67
40,2286,1.0416642038202684,0.622284295468653,96.67
41,2345,1.0377811455755217,0.6266294227188082,96.67
42,2403,1.0323826517123191,0.6269397889509621,96.67
43,2461,1.0278164071214524,0.6306641837368094,96.67
44,2519,1.0242687626787608,0.6315952824332712,96.67
45,2578,1.0210639684597482,0.6301469066832195,96.67
46,2636,1.0166218455079994,0.6334574798261949,96.67
47,2694,1.014466697408617,0.6360438650941445,96.67
48,2752,1.0101707595752614,0.638526794951376,96.67
49,2811,1.008477263451725,0.637906062487068,96.67
50,2869,1.0046194114560143,0.638733705772812,96.67
51,2927,1.00324167536596,0.638009517897786,96.67
52,2985,0.9992970905616158,0.6408028139871715,96.67
53,3044,0.9972757474417298,0.6411131802193255,96.67
54,3102,0.9964687707234913,0.6426650113800951,96.67
55,3160,0.9932387118362794,0.6446306641837368,96.67
56,3218,0.9910789770136098,0.6447341195944548,96.67
57,3277,0.9894396749606942,0.6468032278088144,96.67
58,3335,0.9889764198761295,0.6453548520587626,96.67
59,3393,0.9869810731745456,0.6485619697910201,96.67
60,3451,0.9858952515732039,0.6501138009517898,96.67
61,3510,0.9848148455501033,0.6496999793089179,96.67
62,3568,0.9848772430127618,0.6492861576660459,96.67
63,3626,0.9834897119683701,0.6501138009517898,96.67
64,3684,0.9833030293715881,0.6512518104696876,96.67
65,3743,0.982487393549149,0.654252017380509,96.67
66,3801,0.9831748689922443,0.6554934823091247,96.67
67,3859,0.9827810043796382,0.6559073039519967,96.67
68,3917,0.9821508894774795,0.6578729567556383,96.67
69,3976,0.9834959437997972,0.6569418580591765,96.67
70,4034,0.9836224313867499,0.659424787916408,96.67
71,4092,0.9842879857131911,0.659114421684254,96.67
72,4150,0.984902144210473,0.6566314918270225,96.67
73,4209,0.9851037112578872,0.6572522242913305,96.67
74,4267,0.9864655207356056,0.6573556797020484,96.67
75,4325,0.9888638647619206,0.6604593420235878,96.67
76,4383,0.9886411831004389,0.6589075108628182,96.67
77,4442,0.9911739115132295,0.659735154148562,96.67
78,4500,0.9925913522218692,0.65932133250569,96.67
79,4558,0.9939294978947016,0.65932133250569,96.67
80,4616,0.9969639265159498,0.6587006000413822,96.67
81,4675,0.999369377354977,0.6583902338092282,96.67
82,4733,1.0002589664110109,0.6589075108628182,96.67
83,4791,1.0035431869824696,0.6584936892199462,96.67
84,4849,1.0059021925241336,0.6570453134698945,96.67
85,4908,1.0078862761293712,0.6574591351127664,96.67
86,4966,1.0107440446417224,0.6576660459342023,96.67
87,5024,1.0132013776165556,0.6578729567556383,96.67
88,5082,1.0173092803783021,0.6572522242913305,96.67
89,5141,1.020336750232064,0.6573556797020484,96.67
90,5199,1.0235440653965047,0.6581833229877923,96.67
91,5257,1.0267263081158895,0.6549762052555349,96.67
92,5315,1.031084932186505,0.6551831160769708,96.67
93,5374,1.0354145822228729,0.6558038485412787,96.67
94,5432,1.0375188834178166,0.6548727498448169,96.67
95,5490,1.0426827559052436,0.654562383612663,96.67
96,5548,1.046649375240064,0.6531140078626112,96.67
97,5607,1.051055248226635,0.6523898199875854,96.67
98,5665,1.0542299899318053,0.654148561969791,96.67
99,5723,1.0585825810713598,0.6531140078626112,96.67
